No.,Site name,long,lat,Elev. (m),Tann,Mtco,Mtwa,GDD5,GDD0,Pann,Drought,MI,Sedtype
227,Chuanlong,113.875,23.625,531,18.90583333,10.8,25.5,5087.4,6912.4,2011.53,0.015,1.92,4
228,Cuiluan,128.705,47.405,250,0.439166667,-22.9,20.1,1540,2459.6,636.88,0.028,1.019,4
229,Cuoer 1,91.505,31.475,4515,-0.9725,-12.6,9.2,331,1073.9,431.94,0.28,0.616,1
230,Cuoer 2,91.525,31.575,4545,-1.293333333,-12.9,8.9,297.9,1021.7,432.83,0.304,0.626,1
231,Cuomorong,92.075,31.625,4410,-1.7325,-13.2,8.5,243.7,938,462.86,0.246,0.69,4
232,Cuona 1,91.405,32.075,4740,-1.888333333,-13.7,8.7,261.2,954.7,416.25,0.275,0.616,1
233,Cuona 2,91.445,32.065,4588,-1.655833333,-13.5,8.9,290,998.1,413.75,0.285,0.607,1
234,Cuona 3,91.405,32.075,4772,-1.888333333,-13.7,8.7,261.2,954.7,416.25,0.275,0.616,1
235,Cuona 4,91.455,32.155,4600,-1.865,-13.8,8.8,270.7,967.4,413.41,0.28,0.612,1
236,Dadianzi,126.385,42.355,620,3.214166667,-18.3,20.4,1756.2,2758,809.75,0.02,1.165,4
238,Dafeng Mt 1,110.285,25.285,50,18.8825,8,28.1,5083.6,6908.6,1715.89,0.014,1.751,4
239,Dafeng Mt 2,110.285,25.285,50,18.8825,8,28.1,5083.6,6908.6,1715.89,0.014,1.751,4
240,Dahaizi 1,102.335,27.505,3660,7.998333333,2.6,12.6,1265,2925.7,1043.48,0.155,1.217,1
241,Dahaizi 2,102.665,27.835,3660,9.945833333,2.3,16.3,1950.6,3639.5,1027.76,0.122,1.197,1
242,Dahu Lake_DW,115.035,24.255,250,20.03,10.7,27.8,5499,7324,1779.67,0.015,1.669,1
243,Daihai,112.665,40.585,1221,5.181666667,-12.5,20.7,1933.6,2988.9,375.87,0.468,0.446,1
244,Daihai 99a,112.665,40.585,1220,5.181666667,-12.5,20.7,1933.6,2988.9,375.87,0.468,0.446,1
245,Dajiuhu,110.205,31.305,1700,10.94666667,0.8,20.9,2462,4011.7,1348.75,0.017,1.696,4
